Título,URL,Descrição,Palavras-chave,Habilidade(s) - BNCC,Tipos de Mídias,Disciplina,Temas Curriculares,Temas Transversais,"Etapas, anos e modalidades",Licenças de Uso,Idioma,Acessibilidade,Conectividade,Oferecido por,Produzido por,Etnias indígenas,Anos escolar,ID (não editar)
  [Categorias Literárias] O gato preto: parte 4,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2782/O%20gato%20preto_parte%204.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que apresenta a quarta parte da leitura do conto de terror “O Gato Preto”, de Edgar Allan Poe.",Fundamental II -8º/9º,(EF06LP29)(EF07LP31)(EF08LP17) (EF08LP26) ,Vídeo,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,Acessível para deficiência visual,Online/Offline (download),,Retoque Comunicação/LivroClip,,8º ano; 9º ano,54b94d1f69702d490a0a2000
  [Categorias Literárias] O gato preto: parte 5,http://www.dominiopublico.gov.br/pesquisa/DetalheObraForm.do?select_action=&co_obra=86671,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), que apresenta a parte final da leitura do conto de terror “O Gato Preto”, de Edgar Allan Poe.",Fundamental II -1º/5º,(EF01LP24) (EF01LP25) (EF01LP29),Animação,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Copyright,Português,Acessível para deficiência auditiva,Online/Offline (download do roteiro),,Andrés Lieban/Editora Delta,,1º ano; 2º ano; 3º ano; 4º ano; 5º ano,54b944b769702d490ae01400
  [Categorias Literárias] Série formação do leitor: parte 1 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2792/S%C3%A9rie%20forma%C3%A7%C3%A3o%20do%20leitor_parte%201.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), descreve o processo de leitura. Narra o conto “A Primavera da Lagarta”, de Ruth Rocha. Discorre sobre as características necessárias para o entendimento de um texto.",Fundamental II -  6º/9º,(EF69LP05),Animação,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,,Online,,"
Produção: Portal Dia a Dia Educação e Multimeios",,6º ano; 7º ano; 8º ano; 9º ano,54b949a769702d490a3b1c00
  [Categorias Literárias] Série formação do leitor: parte 2 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2793/S%C3%A9rie%20forma%C3%A7%C3%A3o%20do%20leitor_parte%202.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte da série “Formação do Leitor”. Aborda reflexões sobre o ato de ler. Apresenta conceitos essenciais, como: capacidade de escrita, formação do escritor, processo de escrita e desenvolvimento da leitura.",Fundamental II - 6º/9º,(EF69LP05)(EF69LP21)(EF69LP44)(EF67LP27),Animação,Lingua Portuguesa,Campo da vida cotidiana,Direitos de aprendizagem,Ensino Fundamental,Porta Curtas © 2015 Todos os direitos reservados,Português,,Online,,Escola de Audiovisual de Brasília,,6º ano; 7º ano; 8º ano; 9º ano,54b94c9269702d490a0c1f00
  [Categorias Literárias] Série formação do leitor: parte 3 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2794/S%C3%A9rie%20forma%C3%A7%C3%A3o%20do%20leitor_parte%203.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte da série “Formação do Leitor”. Analisa a primeira parte do ponto de vista de Mário Quintana sobre a leitura, uma série de pensamentos extraídos do livro “Do Caderno H”",Fundamental I - 1º/5º,(EF01LP40)(EF01LP42)(EF02LP48)(EF35LP13) ,Animação,Lingua Portuguesa,Campo da vida cotidiana,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online,,,,1º ano; 2º ano; 3º ano; 4º ano; 5º ano,54b97c6369702d65e2180500
  [Categorias Literárias] Série formação do leitor: parte 4 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2795/S%C3%A9rie%20forma%C3%A7%C3%A3o%20do%20leitor_parte%204.mp3?sequence=1,"Episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta parte da série “Formação do Leitor”, segunda parte do ponto de vista de Mario Quintana sobre a leitura.",Fundamental I - 1º/5º,(EF69LP05)(EF69LP21)(EF69LP44)(EF67LP27),Animação,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Porta Curtas © 2015 Todos os direitos reservados.,Português,,Online,,Bitola Vídeo - DF - Brasil,,1º ano; 2º ano; 3º ano; 4º ano; 5º ano,555d35dd69702d4d8ab60500
  [Categorias Literárias] Viagem no tempo - continuação Rubem Alves: parte 4 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6897/Viagem%20no%20Tempo.%20parte%204.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), continuação Rubem Alves.",Fundamental II - 8º/9º,(EF9LP05)(EF69LP21)(EF69LP44)(EF67LP27),Vídeo,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Retoque Comunicação,Português,,Online/Offline (download),,"Vila Madalena, São Paulo – Brasil",,8º ano; 9º ano,54b94d4c69702d490a4b2000
  [Categorias Literárias] Viagem no tempo - Histórias de Perrault: parte 1 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/2288/Viagem%20no%20Tempo.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda as versões da história da “Chapeuzinho Vermelho”. Cita as histórias produzidas pelo escritor francês Charles Perrault, como Cinderela e muitas outras. Cita, ainda, o contexto histórico e o papel social da criança.",Fundamental II- 6º/9º,(EF9LP05,Áudio,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Livre para uso e/ou compartilhamento,Português,,Online/Offline (download),,BibVirt - USP,,6º ano; 7º ano; 8º ano; 9º ano,54b94d2869702d490a152000
  [Categorias Literárias] Viagem no tempo - Histórias dos Irmãos Grimm: parte 2 ,http://objetoseducacionais2.mec.gov.br/handle/mec/6845,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda versão da história da “Chapeuzinho Vermelho”. Cita a histórias escrita pelos Irmãos Grimm  e uma paródia por Millôr Fernandes.",Fundamental I e II - 1º/9º,(EF67LP28,Animação,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Licença padrão do youtube,Português,,Online/Offline (download),,L&PM WebTV,,1º ano; 2º ano; 3º ano; 4º ano; 5º ano; 6º ano; 7º ano; 8º ano; 9º ano,54b94cdd69702d490a9f1f00
  [Categorias Literárias] Viagem no tempo - Versão de Chapeuzinho Vermelho por Rubem Alves: parte 3 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6894/Viagem%20no%20Tempo.%20parte%203.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), conta a história de “Chapeuzinho Vermelho” na versão de Rubem Alves. Cita o contexto histórico e as mudanças de costumes e valores sociais.",Fundamental I - 1º/5º, (EF01LP15) (EF01LP29),Animação,Lingua Portuguesa,Campo artístico-literário,Direitos de aprendizagem,Ensino Fundamental,Licença padrão do youtube,Português,,Online/Offline (download),,,,1º ano; 2º ano; 3º ano; 4º ano; 5º ano,54b94c6369702d490ae41e00
  [Categorias Literárias] Viagem no tempo: entrevista Patrícia: parte 1 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6911/Viagem%20no%20Tempo_Entrevista%20Patricia.mp3.mp3?sequence=3,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), entrevista a Profª. Patrícia, de Língua Portuguesa. Aborda o escritor Monteiro Lobato e sua obra “Emília no país da gramática”",Fundamental I - 1º/3º,(EF01LP27)(EF01LP28),Jogo,Lingua Portuguesa,Campo das práticas de estudo e pesquisa,Direitos de aprendizagem,Ensino Fundamental,Escola Games,Português,,Online/Offline (download),,Copyright © 2018 - Todos os direitos reservados,,1º ano; 2º ano; 3º ano,54b9472e69702d490a5b1900
  [Categorias Literárias] Viagem no tempo: entrevista Patrícia: parte 2 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6848/Viagem%20no%20Tempo.%20Entrevista%20Patr%C3%ADcia.%20parte%202.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), entrevista a Profª. Patrícia, de Língua Portuguesa. Aborda o escritor Monteiro Lobato e sua obra “Emília no país da gramática”",Fundamental II - 5º/9º,(EF67LP28) (EF35LP14),Áudio,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,Licença padrão do youtube,Português,,Online/Offline (download),,Rádio Câmara,,5º ano; 6º ano; 7º ano; 8º ano; 9º ano,54ec75f069702d66dad60100
  [Categorias Literárias] Viagem no tempo: entrevista Patrícia: parte 3 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6829/Viagem%20no%20Tempo_%20Entrevista%20Patr%C3%ADcia_%20parte%203.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), entrevista a Profa. Patrícia, de português. Aborda o livro “Emília no país da gramática”, de Monteiro Lobato.",Fundamental II - 8º/9º,(EF69LP01) (EF08LP21,Infográfico,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,,,8º ano; 9º ano,54ec742469702d66da480000
  [Categorias Literárias] Viagem no tempo: entrevista Patrícia: parte 4 ,http://curriculomais.educacao.sp.gov.br/?s=Viagem+no+tempo%3A+entrevista+Patr%C3%ADcia+parte+4+%5BCategorias+Liter%C3%A1rias%5D,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), entrevista a Profa. Patrícia, de português. Aborda o livro “Emília no país da gramática”, de Monteiro Lobato.",Fundamental II- 6º/9º,(EF89LP03),Infográfico,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,iG Educação,,6º ano; 7º ano; 8º ano; 9º ano,54ec742669702d66da4a0000
  [Categorias Literárias] Viagem no tempo: parte 10 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6834/Viagem%20no%20Tempo.%20parte%2010.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda a biografia e a produção literária de Monteiro Lobato. Apresenta as características de seus textos, obras e personagens.",Fundamental I - Alfabetização,(EF01LP07)(EF01LP15),Jogo,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,,,,54ec75ce69702d66dab90100
  [Categorias Literárias] Viagem no tempo: parte 11 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6836/Viagem%20no%20tempo.%20parte%2011.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda a contadora de histórias infantis, Eva Furnari. Apresenta o conto “Lolo Barnabé”, de Eva Furnari",Fundamental II - 6º/9º,(EF69LP05)(EF69LP21)(EF69LP44)(EF67LP27),Animação,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,Estúdio do Fogo,,6º ano; 7º ano; 8º ano; 9º ano,54ec742a69702d66da4d0000
  [Categorias Literárias] Viagem no tempo: parte 12  ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6837/Viagem%20no%20Tempo.%20parte%2012.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda a contadora de histórias infantis, Eva Furnari. Apresenta o conto “Lolo Barnabé”, de Eva Furnari.",Fundamental II -  8º/9º,(EF08LP32) (EF08LP33)(EF08LP37)(EF09LP37)(EF09LP39) ,Animação,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,Secretaria de Estado da Cultura de São Paulo – Programa Ação Cultural 2007,,8º ano; 9º ano,54ec742969702d66da4c0000
  [Categorias Literárias] Viagem no tempo: parte 13 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6840/Viagem%20no%20Tempo.%20parte%2013.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda a contadora de histórias infantis, Eva Furnari. Apresenta o conto “Lolo Barnabé”, de Eva Furnari.",Fundamental II -  8º/9º,(EF69LP05)(EF69LP21)(EF69LP44)(EF67LP27),Vídeo,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,,,8º ano; 9º ano,54b9482869702d490aa31a00
  [Categorias Literárias] Viagem no tempo: parte 5 ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/6899/Viagem%20no%20Tempo.%20parte%205.mp3?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a versão da história de “Chapeuzinho Vermelho” vista na mídia.",Fundamental II -8º/9º,(EF08LP20) (EF09LP21),Vídeo,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,,,8º ano; 9º ano,54ec742c69702d66da4e0000
  [Categorias Literárias] Viagem no tempo: parte 6,http://objetoseducacionais2.mec.gov.br/handle/mec/6901/Viagem%20no%20Tempo.%20parte%205.mp3?sequence=1,"Episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), aborda a versão da estória de ""Chapeuzinho Vermelho"", contada pelo Lobo, personagem da estória",Fundamental II -  8º/9º,(EF08LP22),Vídeo,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,,,8º ano; 9º ano,54ec742d69702d66da4f0000
  [Sua Língua] Adjetivo ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/8715/me003486.wmv?sequence=1,"Vídeo com episódio do programa Sua língua, da TV Escola, apresentado por Pasquale. Aborda o uso e as formas dos adjetivos na Língua Portuguesa.",Fundamental II -  8º/9º,(EF08LP22),Vídeo,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,,,8º ano; 9º ano,55b1283169702d0b64c24a00
  [Sua língua] Expressões – língua oral: usos e formas ,http://www.dominiopublico.gov.br/download/video/me003852.mp4,"Episódio do programa Sua língua, da TV Escola. Aborda expressões populares da português e seus respectivos usos.  ",Fundamental II -  8º/9º,(EF08LP22),Vídeo,Lingua Portuguesa,,Direitos de aprendizagem,Ensino Fundamental,,Português,,Online/Offline (download),,,,8º ano; 9º ano,56278d4a69702d625cd72000
Menos 1 minuto [Orto e grafia] ,http://www.dominiopublico.gov.br/download/video/me001141.mp4,"Vídeo do programa Nossa Língua que apresenta os principais “erros” gramaticais cometidos na língua falada, ao apontar diferenças entre a fala formal e a coloquial. Ainda, esclarece as regras do particípio e do presente do subjuntivo de alguns verbos. Apresenta também entrevista com o grupo humorístico “Os Sobrinhos do Ataíde”, que debate o uso do português em textos humorísticos.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b94ba669702d490a301e00
Minuto da gramática,https://www.youtube.com/playlist?list=PLF35B70700C1C2B8A,"Em vídeos de 1 (um) minuto a professora Jane Rúbia aborda temas que frequentemente apresentam dúvidas em português como: uso de Para mim e Para eu; diferença entre Mal e Mau, uso da Crase e o uso dos verbos Haver e Existir.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b9879a69702d77f7580000
Minuto da gramática ,https://www.youtube.com/playlist?list=PLF35B70700C1C2B8A,"Em vídeos de 1 (um) minuto a professora Jane Rúbia aborda temas que frequentemente apresentam dúvidas em português como: uso de Para mim e Para eu; diferença entre Mal e Mau, uso da Crase e o uso dos verbos Haver e Existir.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b987cd69702d77f7900000
Narradores de Javé – Escrita da história ,http://www.historia.seed.pr.gov.br/modules/video/showVideo.php?video=17354,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b9462f69702d490a071800
Narradores de Javé – Oralidade e escrita ,http://www.historia.seed.pr.gov.br/modules/video/showVideo.php?video=17356,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,,,,,,54b9778e69702d65e2060200
Narradores de Javé – Oxum ,http://www.historia.seed.pr.gov.br/modules/video/showVideo.php?video=17357,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b9877369702d77f73a0000
Narradores de Javé – Questão de gênero ,http://www.historia.seed.pr.gov.br/modules/video/showVideo.php?video=17355,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,TV Paulo Freire,,,54b94c6a69702d490aea1e00
No rastro Português ,"http://www.estadao.com.br/especiais/no-rastro-portugues,168682.htm",Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,Jogos da Escola,,,54b94b9269702d490a191e00
Noções de argumentação (adequado para Ensino Médio),http://www.elo.pro.br/repositorio/portuguesa/avancado/D6_florisa/index.html,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b94f5d69702d490a232300
Nome dos animais I ,http://www.ticsnaeducacao.com.br/index.php?id=527,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b9450569702d490ae71500
Nós e eles [Orto e Grafia] ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/674/n%c3%b3s%20e%20eles.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b9768569702d65e2730000
Nossa língua 9 – estrangeirismos – bloco 03 ,https://www.youtube.com/watch?v=K9bSHRE8O1Y,Jogo para testar o conhecimento relacionado com as letras do alfabeto.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,Rafael Aflalo,,,54b97e5669702d65e2e20700
Nossa Língua: Figuras de linguagem; crase; de couro ou em couro?,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/8736/me003860.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,,Online/Offline (download),,,,,54b97d1869702d65e2fd0500
O Guarani,http://www.youtube.com/watch?v=H_t79RdEt8Y,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9460c69702d490ad01700
O Menino Selvagem (O garoto selvagem) ,http://https://www.youtube.com/watch?v=K6GZPuxuBTU,"O Menino Selvagem de Averyon, de Fraçois Truffaut, baseado num caso verídico, relata a história de uma criança que foi capturada num bosque, tendo vivido afastado da sua espécie. Depois, à guarda do Dr. Jean, o filme narra todo o processo de aprendizagem, no qual vai aos poucos deixando de ser 'selvagem'. Indicado para alunos da 1ª série do Ensino Médio. ",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9460b69702d490acf1700
O passo a passo da criação de um jingle ,http://www.youtube.com/watch?v=DWmrjmQU8c8,Comunidade criada por alunos que participaram da Olimpíada da Língua Portuguesa.  Traz postagens diárias de crônicas produzidas pelos estudantes em diferentes regiões do Brasil.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9467d69702d490a731800
O que são gêneros textuais?,http://asantos22.podomatic.com/entry/2011-11-15T06_35_05-08_00,"Áudio explica o que são gêneros textuais. Você sabe o que são? Na Literatura, por exemplo, os gêneros são “poesia”, “crônicas”, “contos”, “prosa” e “narrativa”.  ",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9458469702d490a111700
Ordenação de frases ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/12114/Ordenao%20de%20frases%201.htm?sequence=9,O recurso apresenta 5 exercícios. O aluno deverá por em ordem as palavras dadas para formar as frases. O aluno terá 5 minutos para formar cada frase e também terá dicas para consultar.,,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b94d3b69702d490a312000
Orto e Grafia – Espelho ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/890/espelho.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b94d3969702d490a2f2000
Orto e Grafia – Exato-extrato - ok,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/643/Exato-extrato.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b979d769702d65e28d0400
Orto e Grafia – Mexerica-arrepio ,http://www.dominiopublico.gov.br/download/video/me000977.mp4,"Curta metragem com animação da música “A casa” de Vinícius de Moraes, interpretada pelo Boca Livre. Interessante para introduzir o trabalho com música. Favorece a reflexão sobre o sistema de escrita. Convide as crianças a assistirem ao vídeo e a cantarem. Quando aprenderem a letra da música será possível propor atividades com diferentes desafios como: escrever a letra da música coletivamente, sendo o professor o escriba; escrever a letra da música de próprio punho (em duplas ou individualmente). Para crianças com hipótese de escrita não alfabéticas, o professor pode oferecer a letra da música em letra bastão maiúscula para que façam o ajuste entre o que está cantando e o que está escrito. Para essa última atividade, enquanto estiverem acompanhando a letra da música,  será interessante oferecer somente o áudio. ",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b94c3969702d490ab81e00
Orto e Grafia – Monge ,http://www.dominiopublico.gov.br/download/video/me000995.mp4,"Curta metragem com animação da música “A casa” de Vinícius de Moraes, interpretada pelo Boca Livre. Interessante para introduzir o trabalho com música. Favorece a reflexão sobre o sistema de escrita. Convide as crianças a assistirem ao vídeo e a cantarem. Quando aprenderem a letra da música será possível propor atividades com diferentes desafios como: escrever a letra da música coletivamente, sendo o professor o escriba; escrever a letra da música de próprio punho (em duplas ou individualmente). Para crianças com hipótese de escrita não alfabéticas, o professor pode oferecer a letra da música em letra bastão maiúscula para que façam o ajuste entre o que está cantando e o que está escrito. Para essa última atividade, enquanto estiverem acompanhando a letra da música,  será interessante oferecer somente o áudio. ",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9880769702d77f7c90000
Orto e Grafia – Ortografia: palavras com SC ,http://objetoseducacionais2.mec.gov.br/bitstream/handle/mec/8717/me001143.wmv?sequence=1,"Áudio com episódio do programa Categorias Literárias, exibido pela Biblioteca Virtual dos Estudantes de Língua Portuguesa (BibVirt), apresenta a tecnologia utilizada no site da BibVirt, destacando suas vantagens e formas de uso. Descreve as normas que são seguidas pela biblioteca para publicação de materiais com fins de proteger os direitos autorais e respeitar a legislação. Discorre sobre o trabalho dos voluntários, destacando a importância destes para a biblioteca devido a falta de funcionários. Além de mostrar trecho do livro “Rapunzel”, produzido pelo Núcleo de Computação Eletrônica da Universidade Federal do Rio de Janeiro.",,,,Lingua Portuguesa,,Direitos de aprendizagem,,,Português,Áudio: acessível para deficiência visual,Offline (download),,BibVirt - USP,,,54b9880a69702d77f7cd0000
